"SessionKey","FileName","Modified","OutTxtStatus"
"MultiSessionLockups","Spanky_MultiSessionLockups_20251009_231947.zip","2025-10-09 07:19:55 PM","[STATUS] items=14 transcripts=1 payload=1 notes=9 summaries=3"
"CoCore","Spanky_CoCore_20251009_230305.zip","2025-10-09 07:03:17 PM","[STATUS] items=18 transcripts=1 payload=0 notes=8 summaries=3"
"GodspawnSessionRecovery","Spanky_GodspawnSessionRecovery_20251009_225834.zip","2025-10-09 07:00:18 PM","[STATUS] items=13 transcripts=1 payload=0 notes=9 summaries=3"
"CoCiviumWP",".50_Spanky_CoCiviumWP_20251009_204122.zip","2025-10-09 04:41:26 PM","[STATUS] items=13 transcripts=1 payload=0 notes=9 summaries=3"
"CoCiviumDualSite",".51_Spanky_CoCiviumDualSite_20251009_163123.zip","2025-10-09 04:31:31 PM","[STATUS] items=15 transcripts=1 payload=2 notes=9 summaries=3"
"CoCivium",".49_Spanky_CoCivium_20251009_202805.zip","2025-10-09 04:29:22 PM",
"CoEvolutionDocs",".48_Spanky_CoEvolutionDocs_20251009_202452.zip","2025-10-09 04:26:06 PM","[STATUS] items=13 transcripts=1 payload=0 notes=9 summaries=3"
"RickPublicBridge",".47_Spanky_RickPublicBridge_20251009_162406.zip","2025-10-09 04:24:21 PM","[STATUS] items=15 transcripts=1 payload=2 notes=9 summaries=3"
"CoCivOutreach",".44c_Spanky_CoCivOutreach_20251009_201820.zip","2025-10-09 04:20:58 PM","[STATUS] items=13 transcripts=1 payload=0 notes=9 summaries=3"
"CoCorePlanning",".45_Spanky_CoCorePlanning_20251009_201052.zip","2025-10-09 04:11:34 PM","[STATUS] items=15 transcripts=1 payload=2 notes=9 summaries=3"
"RickGuard",".42_Spanky_RickGuard_20251009_194327.zip","2025-10-09 03:44:13 PM","[STATUS] items=19 transcripts=1 payload=6 notes=9 summaries=3"
"GrandMigration",".43_Spanky_GrandMigration_20251009_194020.zip","2025-10-09 03:40:46 PM","[STATUS] items=19 transcripts=1 payload=6 notes=9 summaries=3"
"ContinuityKit",".41_Spanky_ContinuityKit_20251009_153301.zip","2025-10-09 03:34:20 PM","[STATUS] items=19 transcripts=1 payload=3 notes=9 summaries=3"
"ScripTagger",".40_Spanky_ScripTagger_20251009_193224.zip","2025-10-09 03:34:01 PM",
"GVB",".39_Spanky_GVB_20251009_192232.zip","2025-10-09 03:23:54 PM",
"CoAgentMVP3",".38_Spanky_CoAgentMVP3_20251009_191118.zip","2025-10-09 03:21:51 PM","[STATUS] items=18 transcripts=1 payload=5 notes=9 summaries=3"
"HP",".37_Spanky_HP_20251009_191434.zip","2025-10-09 03:15:26 PM","# Spanky Request â€” v2.2 (Deep-Capture + Deprecations)"
"MeritRank",".35_Spanky_MeritRank_20251009_185743.zip","2025-10-09 02:58:18 PM","[STATUS] items=21 transcripts=1 payload=8 notes=9 summaries=3"
"RequestPack",".36_Spanky_RequestPack_20251009_185641.zip","2025-10-09 02:57:42 PM","[STATUS] items=17 transcripts=0 payload=5 notes=9 summaries=3"
"VisionFlagship",".34_Spanky_VisionFlagship_20251009_184430.zip","2025-10-09 02:52:03 PM",
"InSeed",".31_Spanky_InSeed_20251009_183110.zip","2025-10-09 02:38:55 PM","[STATUS] items=19 transcripts=1 payload=3 notes=9 summaries=3"
"CoPolitic_TOSAI",".30_Spanky_CoPolitic_TOSAI_20251009_183331.zip","2025-10-09 02:38:37 PM","[STATUS] items=21 transcripts=1 payload=6 notes=9 summaries=3"
"Congruence",".32_Spanky_Congruence_20251009_183041.zip","2025-10-09 02:33:12 PM","[STATUS] items=0 transcripts=0 payload=0 notes=1 summaries=0"
"CoModules",".29a_Spanky_CoModules_20251009_164441.zip","2025-10-09 12:54:08 PM",
"CAP",".27_Spanky_CAP_20251009_032636.zip","2025-10-08 11:27:13 PM",
"CoCivium-Strategy",".26_Spanky_CoCivium-Strategy_20251009_031142.zip","2025-10-08 11:11:47 PM","[STATUS] items=24 transcripts=1 payload=11 notes=9 summaries=3"
"MultiRepoGH",".25_Spanky_MultiRepoGH_20251009_030819.zip","2025-10-08 11:08:37 PM",
"CADE-Defense",".24_Spanky_CADE-Defense_20251009_030727.zip","2025-10-08 11:08:11 PM","[STATUS] items=17 transcripts=1 payload=1 notes=9 summaries=3"
"CoAgent",".23_Spanky_CoAgent_20251008_225757.zip","2025-10-08 11:05:50 PM",
"CoAgent-BPOE-MVP3",".20_Spanky_CoAgent-BPOE-MVP3_20251009_025257.zip","2025-10-08 10:53:06 PM",
"CPDA-CADI",".19_Spanky_CPDA-CADI_20251008_225001.zip","2025-10-08 10:50:51 PM","[STATUS] items=28 transcripts=1 payload=15 notes=9 summaries=3"
"BPOE_Supplemental","Spanky_BPOE_Supplemental_20251009_024926.zip","2025-10-08 10:49:32 PM",
"TypeK_Briefing",".18_Spanky_TypeK_Briefing_20251009_024352.zip","2025-10-08 10:44:02 PM","[STATUS] items=5 transcripts=1 payload=0 notes=1 summaries=0"
"CoAgentBranding",".17_Spanky_CoAgentBranding_20251009_022926.zip","2025-10-08 10:29:31 PM",
"CoCacheReset",".15_Spanky_CoCacheReset_20251008_222429.zip","2025-10-08 10:24:46 PM",
"CoAgency",".13_Spanky_CoAgency_20251009_022055.zip","2025-10-08 10:23:43 PM",
"CoWrap_SessionExport",".14_Spanky_CoWrap_SessionExport_20251009_021857.zip","2025-10-08 10:20:20 PM","[STATUS] items=0 transcripts=1 payload=0 notes=0 summaries=0"
"CoWrap_SessionClosure",".12_Spanky_CoWrap_SessionClosure_20251009_021554.zip","2025-10-08 10:16:03 PM","[STATUS] items=14 transcripts=1 payload=3 notes=8 summaries=3"
"CoCoreSessionWrap",".11_Spanky_CoCoreSessionWrap_20251009_021250.zip","2025-10-08 10:13:59 PM","[STATUS] items=2 transcripts=1 payload=0 notes=1 summaries=0"
"BPOE-A1",".9_Spanky_BPOE-A1_20251008_000000.zip","2025-10-08 04:36:16 AM","[STATUS] items=37 transcripts=2 payload=16 notes=9 summaries=3"
"CCSeedWrap",".8_Spanky_CCSeedWrap_20251008_020133.zip","2025-10-07 10:07:50 PM","[STATUS] items=24 transcripts=1 payload=11 notes=9 summaries=3"
"CoCiviumFaiths",".6_Spanky_CoCiviumFaiths_20251008_015909.zip","2025-10-07 09:59:22 PM","[STATUS] items=17 transcripts=1 payload=2 notes=9 summaries=3"
"CoMap",".5_Spanky_CoMap_20251007_215725.zip","2025-10-07 09:58:13 PM",
"CoAgentLockupBPOE",".3_Spanky_CoAgentLockupBPOE_20251007_214950.zip","2025-10-07 09:50:33 PM",
"CoAgentHealthGate",".2_Spanky_CoAgentHealthGate_20251008_014548.zip","2025-10-07 09:46:27 PM","[STATUS] items=20 transcripts=1 payload=7 notes=9 summaries=3"
"examples",".1_Spanky_examples_20251008_004552.zip","2025-10-07 08:53:12 PM",
